t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,u_1,u_2,u_3,u_4,comm_t,comm_id,comm_type
0.1725286960157409732,-0.03012747473822433714,-5.722519562235724777,1.45662483397350706,0.7828423821512200398,-0.6185846290471695985,-0.06716290681689199293,3.826355934280302632e-16,-0.4442121221828769229,4.091287942135972244,0.995733110549460454,-6.294139045906698117e-15,-2.070428356972926274e-14,-1.081422363350341665e-15,-3.46396037414733815,31.90381037136852171,-4.102866780410661995,7,7,7,7,0.00397843,3,2
0.1765071215963393558,-0.0319221531657459881,-5.705990192946004846,1.460567509900533745,0.7828423821512200398,-0.6185846290471695985,-0.06716290681689202069,4.058794740680298621e-16,-0.4579932307455638618,4.218214877435984889,0.9862951300962572443,-6.625409522007050484e-15,-2.12564010298965159e-14,-1.113899861007238944e-15,-3.463960374147340815,31.90381037136852171,-4.102866780410661995,7,7,7,7,0.00397843,3,2
0.1804855471769377384,-0.03377165870810243387,-5.68895585429002093,1.464472637524696141,0.7828423821512200398,-0.6185846290471695985,-0.06716290681689206232,4.297078998543670754e-16,-0.4717743393082508008,4.345141812735997533,0.9768571496430540346,-6.95667999810740285e-15,-2.180851849006376905e-14,-1.146377358664136223e-15,-3.463960374147343924,31.90381037136852171,-4.102866780410661995,7,7,7,7,0.00397843,3,2
0.184463972757536121,-0.03567599136529368137,-5.671416546267772141,1.468340216845994473,0.7828423821512200398,-0.6185846290471695985,-0.06716290681689210396,4.541208707870419029e-16,-0.4855554478709377397,4.472068748036010177,0.967419169189850825,-7.287950474207755217e-15,-2.236063595023102221e-14,-1.178854856321033502e-15,-3.463960374147346588,31.90381037136852171,-4.102866780410661995,7,7,7,7,0.00397843,3,2
0.1884423983381345036,-0.03763515113731972367,-5.653372268879258478,1.472170247864428516,0.7828423821512200398,-0.6185846290471695985,-0.06716290681689214559,4.791183868660542955e-16,-0.4993365564336246787,4.598995683336022822,0.9579811887366476153,-7.619220950308108372e-15,-2.291275341039827536e-14,-1.211332353977930781e-15,-3.463960374147349697,31.90381037136851816,-4.102866780410661995,7,7,7,7,0.00397843,3,2
0.1924208239187328862,-0.03964913802418056077,-5.634823022124480829,1.475962730579998272,0.7828423821512200398,-0.6185846290471695985,-0.06716290681689218722,5.047004480914043024e-16,-0.5131176649963116176,4.725922618636035466,0.9485432082834444056,-7.950491426408461527e-15,-2.346487087056552852e-14,-1.243809851634828061e-15,-3.463960374147352805,31.90381037136851816,-4.102866780410661995,7,7,7,7,0.00397843,3,2
0.1963992494993312687,-0.04171795202587619961,-5.615768806003438307,1.479717664992703963,0.7828423821512200398,-0.6185846290471695985,-0.06716290681689222886,5.308670544630918251e-16,-0.5268987735589986121,4.85284955393604811,0.939105227830241196,-8.281761902508814683e-15,-2.401698833073278167e-14,-1.27628734929172534e-15,-3.463960374147355914,31.90381037136851816,-4.102866780410661995,7,7,7,7,0.00397843,3,2
0.2003776750799296513,-0.04384159314240663324,-5.5962096205161318,1.483435051102545366,0.7828423821512200398,-0.6185846290471695985,-0.06716290681689227049,5.57618205981116962e-16,-0.5406798821216856066,4.979776489236060755,0.9296672473770379863,-8.613032378609167838e-15,-2.456910579090003483e-14,-1.308764846948622619e-15,-3.463960374147359023,31.90381037136851816,-4.102866780410661995,7,7,7,7,0.00397843,3,2
0.2043561006605280339,-0.04602006137377186862,-5.576145465662560419,1.487114888909522481,0.7828423821512200398,-0.6185846290471695985,-0.06716290681689231212,5.849539026454797133e-16,-0.554460990684372601,5.106703424536073399,0.9202292669238347766,-8.944302854709520993e-15,-2.512122325106728798e-14,-1.341242344605519898e-15,-3.463960374147363019,31.90381037136851816,-4.102866780410661995,7,7,7,7,0.00397843,3,2
0.2083345262411264165,-0.04825335671997189879,-5.555576341442724164,1.490757178413635531,0.7828423821512200398,-0.6185846290471695985,-0.06716290681689235376,6.12874144456180079e-16,-0.5682420992470595955,5.233630359836086043,0.910791286470631567,-9.275573330809874148e-15,-2.567334071123454114e-14,-1.373719842262417178e-15,-3.463960374147366128,31.90381037136851816,-4.102866780410661995,7,7,7,7,0.00397843,3,2
0.2123129518217247991,-0.05054147918100672376,-5.534502247856623924,1.494361919614884293,0.7828423821512200398,-0.6185846290471695985,-0.06716290681689239539,6.413789314132180589e-16,-0.58202320780974659,5.360557295136098688,0.9013533060174283573,-9.606843806910227304e-15,-2.622545817140179429e-14,-1.406197339919314457e-15,-3.463960374147369237,31.90381037136851816,-4.102866780410661995,7,7,7,7,0.00397843,3,2
